Player,Team,Position,Experience,Salary
A.J. Burnett,New York Yankees,Pitcher,2,16500000
A.J. Ellis,Los Angeles Dodgers,Catcher,1,421000
A.J. Pierzynski,Chicago White Sox,Catcher,6,2000000
Aaron Cook,Colorado Rockies,Pitcher,4,9875000
Aaron Crow,Kansas City Royals,Pitcher,14,1400000
Aaron Harang,San Diego Padres,Pitcher,4,3500000
Aaron Heilman,Arizona Diamondbacks,Pitcher,14,2000000
Aaron Hill,Toronto Blue Jays,Second Baseman,7,5000000
Aaron Laffey,Seattle Mariners,Pitcher,2,431600
Aaron Miles,Los Angeles Dodgers,Second Baseman,9,500000
Aaron Rowand,San Francisco Giants,Outfielder,12,13600000
Adam Dunn,Chicago White Sox,Designated Hitter,14,12000000
Adam Everett,Cleveland Indians,Shortstop,12,700000
Adam Jones,Baltimore Orioles,Outfielder,2,3250000
Adam Kennedy,Seattle Mariners,Second Baseman,13,750000
Adam LaRoche,Washington Nationals,First Baseman,12,7000000
Adam Lind,Toronto Blue Jays,First Baseman,18,5150000
Adam Moore,Seattle Mariners,Catcher,9,417500
Adam Rosales,Oakland Athletics,Second Baseman,8,425000
Adam Russell,Tampa Bay Rays,Pitcher,7,420800
Adam Wainwright,St. Louis Cardinals,Pitcher,18,6687500
Adrian Beltre,Texas Rangers,Third Baseman,13,14000000
Adrian Gonzalez,Boston Red Sox,First Baseman,14,6300000
Albert Pujols,St. Louis Cardinals,First Baseman,4,14508395
Alberto Arias,Houston Astros,Pitcher,15,439500
Alberto Callaspo,Los Angeles Angels,First Baseman,4,2000000
Alberto Gonzalez,San Diego Padres,Shortstop,13,600000
Alcides Escobar,Kansas City Royals,Shortstop,3,428000
Alex Avila,Detroit Tigers,Catcher,11,425000
Alex Cora,Washington Nationals,Second Baseman,9,900000
Alex Gonzalez,Atlanta Braves,Shortstop,3,2500000
Alex Gordon,Kansas City Royals,Outfielder,9,1400000
Alex Rios,Chicago White Sox,Outfielder,17,12500000
Alex Rodriguez,New York Yankees,Third Baseman,29,32000000
Alexei Ramirez,Chicago White Sox,Shortstop,11,2750000
Alexi Casilla,Minnesota Twins,Shortstop,8,865000
Alexi Ogando,Texas Rangers,Pitcher,7,430150
Alfonso Soriano,Chicago Cubs,Outfielder,6,19000000
Allen Craig,St. Louis Cardinals,Outfielder,12,414000
Andre Ethier,Los Angeles Dodgers,Outfielder,13,9500000
Andres Blanco,Texas Rangers,Second Baseman,14,520000
Andres Torres,San Francisco Giants,Outfielder,14,2200000
Andrew Bailey,Oakland Athletics,Pitcher,26,465000
Andrew Cashner,Chicago Cubs,Pitcher,9,427500
Andrew McCutchen,Pittsburgh Pirates,Outfielder,16,452500
Andruw Jones,New York Yankees,Outfielder,2,1500000
Andy LaRoche,Oakland Athletics,Third Baseman,16,600000
Andy Sonnanstine,Tampa Bay Rays,Pitcher,24,912500
Aneury Rodriguez,Houston Astros,Pitcher,9,414000
Angel Pagan,New York Mets,Outfielder,11,3500000
Angel Sanchez,Houston Astros,Shortstop,15,432500
Anibal Sanchez,Miami Marlins,Pitcher,4,3700000
Antonio Bastardo,Philadelphia Phillies,Pitcher,10,419000
Aramis Ramirez,Chicago Cubs,Third Baseman,10,14600000
Armando Galarraga,Arizona Diamondbacks,Pitcher,15,2300000
Aroldis Chapman,Cincinnati Reds,Pitcher,41,3835772
Arthur Rhodes,Texas Rangers,Pitcher,3,3900000
